ROBOT,PERCEPTION,TACTILE_MOBILITY,NONVERBAL,WARMTH,COMPETENCE,DISCOMFORT,AMBIGUITY,ATYPICALITY,MASCULINE,FEMININE,IDENTIFY,LIKEABILITY,METAPHOR1_NAME,METAPHOR1_COUNT,METAPHOR1_RATING,METAPHOR2_NAME,METAPHOR2_COUNT,METAPHOR2_RATING,METAPHOR3_NAME,METAPHOR3_COUNTS,METAPHOR3_RATING,ENTROPY_COUNTS,ENTROPY_RATINGS,ROLE
Aeolus,-0.5972222222,1.305555556,-0.8888888889,-1.194444444,0.6666666667,-0.1527777778,4.555555556,4.5,0.8888888889,-1.277777778,3,5.388888889,a person,6,4.277777778,a vacuum cleaner,3,5.222222222,"a Transformer from the movie ""Transformers""",2,5.888888889,0.9949236326,1.090200643,3.888888889
Aibo,-1.078125,0.640625,-0.6875,-0.4444444444,0.5833333333,-1.513888889,2.375,3.9375,-1.277777778,-1.055555556,3.277777778,6.388888889,a dog,16,7.75,a toy,3,8.5,"Snoopy from the cartoon ""The Peanuts""",2,3.5,0.7091152576,1.036578691,2.764705882
Aibo (1999),-0.8666666667,0.65,-0.85,-0.4605263158,1.131578947,-1.802631579,3.266666667,4.6,-0.8947368421,-1.631578947,3.157894737,6.052631579,a dog,10,6.333333333,"Goddard from the show ""Jimmy Neutron""",3,4.6,"K9 from the show ""Doctor Who""",3,4.733333333,0.9214934309,1.087577324,1.736842105
Aido,-1.460526316,-1.25,-1.921052632,-1.352941177,0.1470588235,-0.3235294118,6.368421053,6.789473684,-1.117647059,-1,2.647058824,4,a razor,6,6.736842105,an electric toothbrush,5,4.842105263,a vacuum cleaner,2,4.315789474,1.012330839,1.079912444,2.823529412
Aila,0.5294117647,1.985294118,0.25,-0.5481481481,1.214814815,-0.162962963,5.823529412,5.529411765,-1.727272727,1.090909091,3.647058824,4.970588235,a woman,8,7,"Rosey the robot from the show ""The Jetsons""",2,5.058823529,a maid,2,5.117647059,0.8675632285,1.086604592,4.470588235
Aisoy KiK,-1.45,-0.8666666667,-1.466666667,-0.5734265734,0.0699300699,-0.1666666667,6.333333333,4.866666667,-1.628571429,-0.5,2.222222222,3.527777778,a cat,7,3.466666667,a dog,5,2.666666667,a toy,3,7.933333333,1.043757036,0.9834432178,2.194444444
Albert Hubo,0.3157894737,1.657894737,0.6578947368,-0.2058823529,1.147058824,-0.1764705882,4.263157895,5.105263158,0.5294117647,-1.882352941,3.352941177,3.941176471,an astronaut,7,6.578947368,Albert Eistein,6,5.52631579,a professor,2,5.210526316,0.9908353864,1.093559516,3.823529412
Alfa KIKI,-0.2236842105,1.736842105,-0.5789473684,-0.7058823529,0.9418604651,-0.6395348837,4.052631579,4.315789474,-2.227272727,1.136363636,3.545454546,4.772727273,a woman,8,5.947368421,"Rosey the robot from the show ""The Jetsons""",2,4.368421053,a nanny,2,4.473684211,0.8675632285,1.088233848,3.863636364
Ami,-0.1956521739,1.554347826,-0.2717391304,-0.9295774648,1.152777778,-0.3611111111,5.217391304,4.652173913,-0.1111111111,-1.166666667,4.055555556,5.277777778,an astronaut,4,5.217391304,a person,4,3.608695652,"Speed Racer from the show ""Speed Racer""",2,4.347826087,1.054920168,1.087396838,5
Amigo,-0.2058823529,1.823529412,-0.3529411765,-1.434210526,0.8026315789,-0.3815789474,5.588235294,5.235294118,-0.5263157895,-1,2.52631579,4.52631579,"Johnny 5 from the movie ""Short Circuit""",3,5.647058824,a trumpet,3,3,a vacuum cleaner,2,3.823529412,1.08219553,1.063965019,3.105263158
Amy-A2,-1.111111111,0.1527777778,-1.111111111,-1.09375,1.03125,-1.265625,4.944444444,5.111111111,-1.4375,-1.0625,3.875,5.375,a vacuum cleaner,5,5.666666667,a kiosk,3,5.5,a Segway,1,3.777777778,0.9368883075,1.083222101,2.3125
ApriPoko,-0.575,-0.0625,-1.1,-0.4788732394,0.8472222222,-1.154929578,6.55,6.15,-1.666666667,-1.277777778,3.888888889,6.555555556,a turtle,7,5.1,a chick,3,4.75,a ladybug,2,4.15,0.9596147939,1.095042096,3.111111111
AR-600,-0.0294117647,1.911764706,-0.1176470588,-0.8157894737,1.118421053,-0.6184210526,4.176470588,4.529411765,0.1578947368,-1.055555556,3.444444444,4.882352941,ASIMO from Honda Robotics,4,7.176470588,a person,3,4.529411765,an astronaut,2,6.588235294,1.060856947,1.080514911,4.105263158
ARI,0.075,1.325,-0.0875,-0.375,0.9,0,4.95,5.65,-1.8,1.5,3.15,4.25,C-3PO from the Star Wars Franchise,5,5.45,a woman,5,6.9,a vacuum cleaner,2,4.2,1.028183859,1.078533666,4.8
Armar,-0.453125,1.890625,-0.453125,-1.539473684,1.223684211,0.2631578947,4.8125,5.1875,0,-1.105263158,3.315789474,4.842105263,"the Hulk from the comic ""The Incredible Hulk""",2,2.733333333,a carpet cleaner,2,5.75,a scarecrow,1,4.5,1.054920168,1.05598942,3.789473684
Asimo,0.0694444444,1.722222222,0.0972222222,-0.8421052632,1.407894737,-0.6266666667,4.333333333,4.166666667,1.210526316,-1.421052632,4.052631579,5.736842105,an astronaut,8,7.166666667,the Michelin Man from Michelin Tire commercials,2,3.666666667,a person,2,5.666666667,0.8675632285,1.06349564,5.263157895
Autom,-0.75,-0.8055555556,-1.361111111,-0.4605263158,1.210526316,-1.355263158,5.222222222,5.5,-1.052631579,-0.5263157895,3.736842105,5.52631579,a tablet,3,6.166666667,a kiosk,2,6.666666667,a child,2,4.222222222,1.078992208,1.080617795,3.263157895
Automatronic,-0.6125,0.4625,-1.5375,-0.8625,0.6,-0.2625,5.65,4.95,0.3,-1.3,2.45,4.5,R2-D2 from the Star Wars franchise,5,5.2,a Roomba,3,2.5,"WALL-E from the movie ""WALL-E""",2,4.4,1.029653014,1.056609447,3.05
Babyloid,-0.8055555556,-1.388888889,-1.597222222,-0.25,-0.3450704225,-1.041666667,6.055555556,6.722222222,-1.555555556,-0.4444444444,2.694444444,4.361111111,a baby,5,5.111111111,"No-Face from the movie ""Spirited Away""",2,4.666666667,an otter,2,4.444444444,0.9950269902,1.096914589,1.888888889
Bandit,-0.4342105263,1.460526316,-0.1315789474,-1.426470588,0.7647058824,0.3970588235,5.157894737,6.105263158,-0.1764705882,-1.529411765,1.352941177,3.235294118,a person,7,4.631578947,a lawn mower,4,4.736842105,"Gumby from the show ""The Gumby Show""",2,2,0.983961446,1.036311815,2.529411765
Baxter,-1.041666667,1.083333333,-0.4583333333,-1.083333333,0.8666666667,0.5666666667,6.055555556,6.388888889,0.8666666667,-1.8,2.933333333,4.6,an office chair,4,4.055555556,a spider,4,4.444444444,a person,2,3.944444444,1.054920168,1.097289171,3.8
BHR-5,0.2631578947,1.710526316,0.2763157895,-0.8888888889,0.9722222222,-0.4861111111,4.473684211,4.473684211,0.5555555556,-2.111111111,3.888888889,5.944444444,a person,4,5.736842105,A Doll,3,4.894736842,"a Transformer from the movie ""Transformers""",2,6.631578947,1.060856947,1.091000827,4.764705882
BIG-i,-0.5526315789,-1.105263158,-1.27631579,-1.715277778,0.0277777778,-0.5281690141,5.736842105,5.578947368,-0.9444444444,-1.805555556,2.25,4.222222222,a trashcan,8,7.789473684,an eye,5,5.210526316,a pill,2,4.894736842,0.970115784,1.075898457,2.583333333
Blossom,-1.075,-0.7125,-1.25,-0.1898734177,0.125,-0.9625,5.75,6.95,-1.6,-0.6,3.3,5.75,a rabbit,10,6.05,a sock,3,4.2,a dog,2,4.5,0.8608513906,1.085408789,2.95
Bocco Emo,-0.5138888889,-1.5,-1.708333333,-0.7125,0.5125,-1.4875,4.555555556,5.166666667,-1.45,-0.65,3.15,4.8,a snowman,9,7.5,a baby,2,3.555555556,a toy,2,7.722222222,0.8305178253,1.047091786,2.05
Buddy,-1.016666667,-0.15,-0.5166666667,0.125,0.890625,-1.015625,6.4,6,-1.6875,0.125,3.4375,5.5,a person,4,3.733333333,a cat,2,2.666666667,a dog,2,2.666666667,1.039720771,1.08522804,3.5625
Care-O-bot 4,-0.4861111111,1.333333333,-0.4305555556,-0.4705882353,1.088235294,-0.1323529412,5.111111111,4.611111111,0.2941176471,-1.058823529,4.352941177,5.352941177,"Eve from the movie ""WALL-E""",2,5.388888889,a bowling pin,2,3.777777778,an alien,1,4.666666667,1.054920168,1.088287836,3.823529412
CB2,-0.2763157895,1.092105263,0.0131578947,-1.109375,1.0625,-0.03125,4.210526316,5.105263158,-1.0625,-1.3125,2.1875,3.3125,a child,8,5.842105263,a doll,5,6.631578947,a crash test dummy,2,6.368421053,0.970115784,1.097236817,3.625
Chili,-1.763888889,-0.875,-1.541666667,-1.097222222,0.4027777778,-0.1666666667,5.388888889,6.833333333,-0.7222222222,-1.222222222,2.277777778,3.777777778,a dragon,6,6.777777778,a snake,3,3.222222222,a bat (animal),2,4.222222222,0.9949236326,1.050130585,2.5
CHiP,-0.8472222222,0.1111111111,-1.222222222,-0.3194444444,0.7887323944,-1.25,4.277777778,4.166666667,-0.5555555556,-1.222222222,3.444444444,5.777777778,a dog,11,6.222222222,a wolf,2,3.444444444,a mouse,1,1.5,0.6559757323,0.9583208243,2.722222222
Chip CANdroid,0.0694444444,1.847222222,-0.3888888889,-0.9444444444,1.097222222,0.3888888889,4.722222222,5.722222222,1.055555556,-1.611111111,3,4,a crash test dummy,3,6.444444444,a man,3,4.722222222,a Segway,3,5.722222222,1.098612289,1.090649725,4.388888889
Cobalt,-1.644736842,-0.4473684211,-1.539473684,-1.59375,0.873015873,-1.40625,5.105263158,6.473684211,-0.6875,-1.25,3,5.8125,a flashlight,5,7.105263158,a traffic cone,4,5.421052632,an ash tray,2,2.578947368,1.036198785,1.024331082,2.9375
Cody,-1.066666667,1.35,-1.483333333,-1.7125,0.5,0.1875,4.533333333,5.4,-0.45,-1.5,2.3,4,a forklift,3,7.066666667,a griaffe,2,2.533333333,a centipede,2,1.866666667,1.078992208,0.9274099168,2.95
Cosero,0.25,1.725,-0.05,-1.138888889,0.5492957746,0.3055555556,5.6,5.8,1.222222222,-2.222222222,3.611111111,4.111111111,a person,6,4.8,a Segway,2,4.8,a crash test dummy,1,4.3,0.8486855577,1.097301976,4.722222222
Cozmo,-0.8333333333,1.194444444,-1.041666667,-1.092105263,0.6447368421,-0.5789473684,5.111111111,4.722222222,-0.1578947368,-1.842105263,2.894736842,4.947368421,a bulldozer,4,6.166666667,a forklift,2,4.777777778,a tank (vehicle),2,4.388888889,1.039720771,1.08772659,2.052631579
Cruzr,-0.6617647059,1.25,-0.8235294118,-0.7058823529,1.323529412,-0.5147058824,5.941176471,5.470588235,-0.8823529412,-0.1764705882,3.294117647,5.058823529,a blender,3,4.117647059,a webcam,2,5.823529412,a person,2,4.294117647,1.078992208,1.085982886,3.058823529
Cutii,-0.5972222222,-0.1666666667,-1.027777778,-0.8947368421,0.6710526316,-1.315789474,5.777777778,6.666666667,-1.52631579,0,2.684210526,4.263157895,a vacuum cleaner,5,5.235294118,a spatula,3,5.944444444,a Segway,1,3.944444444,0.9368883075,1.084779643,2.263157895
Darwin-OP,-0.775,1.4,-0.35,-1.02631579,0.9210526316,-0.0131578947,5.5,4.85,0.9473684211,-2.052631579,3,5.052631579,a cat,5,3.3,"Batman from the comic ""Batman""",5,4.85,an alien,2,4.75,1.028183859,1.084422831,4.157894737
Dash and Dot,-1.075,-0.275,-1.3625,-1.118421053,0.5657894737,-0.5394736842,7.05,7.3,-1.210526316,-1.52631579,3.210526316,4.315789474,an octopus,3,4.25,a caterpillar,2,4.1,a toy,3,7.65,1.08219553,1.053841818,2.52631579
Deskbot,-0.4375,-1.425,-1.6,-0.484375,0.40625,-0.328125,4.55,4.8,-1.1875,0.4375,3,4.375,a person,3,5.45,an alien,3,5.95,a dog,2,1.4,1.08219553,0.9616839244,3.0625
Diego-san,0.275,1.3125,0.55,-0.2151898734,0.45,0.8875,5.15,5.15,0.25,-1.2,3.7,3.5,a baby,7,5.55,C-3PO from the Star Wars Franchise,3,4.05,a person,3,5.15,1.010099759,1.090075968,3.6
Domgy,-0.265625,0.125,-0.453125,-0.6388888889,0.7777777778,-1.430555556,5.5625,6.9375,-1.235294118,-0.6111111111,3.222222222,6.666666667,a dog,7,4.4,"Eve from the movie ""WALL-E""",3,4.8125,a rabbit,2,3.8,0.9596147939,1.093976186,2.555555556
Dreamer,-0.4210526316,1.723684211,-0.0394736842,-0.7105263158,1.092105263,-0.1842105263,5.473684211,4.631578947,-0.5263157895,0.4210526316,3.947368421,5,a person,4,5.421052632,a trashcan,2,4.210526316,an alien,2,5.421052632,1.039720771,1.091948796,4.421052632
ECCE,-0.8552631579,1.697368421,-1.02631579,-1.106666667,0.4736842105,1.197368421,5.052631579,6.210526316,0.5263157895,-1.315789474,1.894736842,3.157894737,a cyclops,5,7,a skeleton,4,6.105263158,a mannequin,2,3.421052632,1.036198785,1.057774933,3.421052632
Elli-Q,-1.2625,-1.7875,-1.85,-1.157894737,1.25,-1.171052632,6.95,6.15,-1,-0.7894736842,2.684210526,5.421052632,a tablet,5,5.85,a pill,2,3.1,a desk lamp,2,5.2,0.9950269902,1.06568246,2.315789474
Emiew 3,-1.05,1.1375,-0.6,-0.4390243902,1.154761905,-1.109756098,4.85,4.2,-1.047619048,0.5714285714,3.904761905,6.095238095,a person,3,4.3,a cat,2,2.5,a toy,1,7.5,1.011404265,1.004697014,3.619047619
eMuu,-1.319444444,-1.916666667,-1.708333333,-0.4605263158,-0.0921052632,0.9210526316,6.055555556,6.777777778,-0.5263157895,-0.3684210526,2.684210526,3.842105263,"Mike Wazowski from the movie ""Monsters, Inc""",3,6,a human eyeball,2,5.555555556,a teardrop,2,5.833333333,1.078992208,1.09811045,2.473684211
EMYS,-1.119565217,-1.586956522,-1.72826087,-1.235294118,0.5428571429,0.7,5.652173913,6.217391304,-0.5882352941,-1.111111111,1.647058824,3.176470588,a skull,3,5.347826087,"E.T. from the movie ""E.T.""",2,4,a zombie,2,4.304347826,1.078992208,1.090730279,2.235294118
Enon,-0.6470588235,0.6911764706,-1.25,-0.625,1.236111111,-1.225352113,5,4.470588235,-0.3888888889,-0.7777777778,2.944444444,5.611111111,a kiosk,5,6.117647059,an astronaut,2,5.411764706,a maid,2,4.529411765,0.9950269902,1.091177949,3.166666667
Erica,-0.25,0.369047619,-0.2023809524,0.1315789474,1.333333333,-0.7631578947,2.857142857,4.190476191,-2.631578947,2.052631579,4.315789474,5.263157895,a woman,7,7.35,a doll,6,7.952380952,a mannequin,2,7.666666667,0.9908353864,1.09809551,3.894736842
Fable,-0.2236842105,1.407894737,-1.092105263,-0.6911764706,0.9852941176,-1.411764706,5.157894737,5.157894737,0.0588235294,-2.058823529,3.823529412,6.176470588,"WALL-E from the movie ""WALL-E""",7,5.52631579,a smartphone,5,4.105263158,a Segway,2,5.473684211,0.9922819749,1.08977567,2.823529412
Farnese,-0.8194444444,-0.6527777778,-1.375,-0.9,1.1625,-0.7848101266,6.5,6.055555556,-0.85,-1,2.4,5.25,a pen,2,3.944444444,an alien,2,5.5,a cocoon,2,3.888888889,1.098612289,1.084964743,3.05
Flash,-0.4666666667,1.85,-0.25,-1.121621622,1.289473684,0.4189189189,5.466666667,5,0.5789473684,-1.315789474,3.052631579,4.315789474,"Johnny 5 from the movie ""Short Circuit""",5,6.133333333,a child,3,3.866666667,a Segway,3,5,1.067089519,1.081336615,4.277777778
Flobi,-0.875,-1.5,-1.5875,-0.6666666667,-0.08,0.3378378378,4.55,5.75,-1.684210526,0.7894736842,3.210526316,4.315789474,a human head,8,6.3,a woman,5,6.3,a doll,2,7.35,0.970115784,1.095887154,3.736842105
Furby,-1.625,-2.027777778,-1.972222222,-0.1510791367,-0.0575539568,-0.726618705,4.611111111,4.777777778,-1.617647059,0,2.685714286,4.685714286,an owl,6,5.294117647,a toy,4,8.5,"Gizmo from the movie ""Gremlins""",2,5.277777778,1.011404265,1.071457937,2.4
FURo-i,-0.8552631579,-1.302631579,-1.618421053,-0.5138888889,0.6944444444,-0.6527777778,6.789473684,6.105263158,-0.8333333333,0.0555555556,3.166666667,4.833333333,a coffee machine,5,3.52631579,a smartphone,5,3,a humidifier,3,5.421052632,1.073394281,1.065719121,2.588235294
FURo-S,0.0138888889,0.875,-0.625,-0.8472222222,0.8611111111,-0.2222222222,4.722222222,5.222222222,-1.333333333,-0.1111111111,4.111111111,5.666666667,a maid,7,5.611111111,a woman,4,5.555555556,"Rosey the robot from the show ""The Jetsons""",4,5.222222222,1.060601806,1.098114677,4.611111111
Gemini,-0.6447368421,-0.3815789474,-1.092105263,-1.152777778,1.111111111,-0.0416666667,5.263157895,6.105263158,0,-0.7222222222,2.555555556,4.222222222,a bottle,4,7,R2-D2 from the Star Wars franchise,2,4.052631579,"a Dalek from the show ""Doctor Who""",2,5.421052632,1.039720771,1.074425116,3.055555556
Geminoid DK,0.6388888889,1.027777778,0.9166666667,-0.5416666667,0.6666666667,0.75,3.555555556,4.888888889,1.055555556,-1.555555556,3.166666667,2.833333333,a man,12,7.777777778,a manager,5,7.666666667,a mannequin,1,6,0.7867012379,1.091948457,3.611111111
Geminoid F,0.4722222222,1.25,0.2222222222,-0.1111111111,0.7638888889,-0.2253521127,3.444444444,4.833333333,-1.888888889,2.277777778,4.333333333,4.888888889,a woman,10,8.055555556,a mannequin,7,6.611111111,a receptionist,2,7.111111111,0.9426749616,1.095236426,4.722222222
Geminoid HI,-0.25,0.675,0.1125,-0.7777777778,0.875,0.5416666667,2.25,4.25,1.944444444,-2.444444444,3.055555556,3.388888889,a man,6,7.05,a professor,1,6.85,a mannequin,1,6.7,0.7356219398,1.098394552,5.222222222
Heasy,-0.525,-0.825,-1.2375,-1.204819277,1.238095238,-0.6547619048,6.2,5.85,-1.238095238,-1.285714286,3.428571429,5.619047619,"WALL-E from the movie ""WALL-E""",2,5.75,a kiosk,2,6.95,a pair of binoculars,1,5.9,1.054920168,1.094969507,3.55
HEXA,-0.8214285714,1.017857143,-1.053571429,-1.48,0.3466666667,-0.0394736842,5.785714286,6.214285714,-0.6315789474,-1.684210526,2.277777778,3.368421053,a spider,10,6.642857143,a crab,3,6.642857143,a drone,2,5,0.8608513906,1.090262708,2.263157895
HOSPI,-0.5375,-0.525,-1.225,-0.9659090909,1.420454546,-1.079545455,5.8,4.8,-1.272727273,-0.7272727273,3.318181818,5.954545455,a vacuum cleaner,3,3.6,a trashcan,3,5.45,a kiosk,2,7.35,1.08219553,1.058652419,2.428571429
HRP-2,-0.625,0.9625,-0.3375,-1.125,1.125,-0.0138888889,5.25,5,1.722222222,-2.055555556,3.888888889,4.388888889,"a Transformer from the movie ""Transformers""",7,6.6,a skiier,3,5.6,"RoboCop from the movie ""RoboCop""",2,5.4,0.9596147939,1.094676915,5.166666667
HRP-4,0.65625,1.875,0.890625,-0.7368421053,1.4,0.2933333333,4.9375,3.875,1.473684211,-1.947368421,3.368421053,4.157894737,a Power Ranger from the Power Rangers franchise,4,6.125,a person,4,5.9375,"RoboCop from the movie ""RoboCop""",3,5.3125,1.090059659,1.096792069,4.736842105
HRP-4C,0.1842105263,1.842105263,0.7368421053,0.05,1.2875,-0.45,3.473684211,4.789473684,-2,1.85,4.6,6.1,a woman,7,7.736842105,a space traveler,2,5.947368421,a superhero,2,6.157894737,0.9075352941,1.09149515,5.052631579
Hub,-0.2361111111,-1.041666667,-1.111111111,-0.4625,1.125,-1.325,6.666666667,5.777777778,-1.5,-0.5,3.45,5.75,"Eve from the movie ""WALL-E""",4,6.111111111,a speaker,3,7.166666667,a trashcan,2,4.388888889,1.060856947,1.079173959,2.95
Human Support Robot,-1.119047619,0.7380952381,-1.476190476,-0.9125,1,-0.1625,5.095238095,5.523809524,-0.2105263158,-1.55,2.9,4.3,a claw machine,4,5.761904762,a vacuum cleaner,2,3.047619048,a coffee machine,2,4.333333333,1.039720771,1.066243661,3.315789474
iCat,-0.5882352941,-0.3088235294,-1.308823529,-0.3125,0.8125,0.025,6.470588235,6.294117647,-0.6,-0.15,2.9,4.25,a cat,7,5,a giraffe,4,2.411764706,a traffic cone,2,4.588235294,0.983961446,1.0548597,2.45
iCub,-0.4375,1.7875,-0.2125,-0.3055555556,1.069444444,-0.5,3.5,3.2,-0.7777777778,-0.3888888889,3.235294118,5,a child,9,6.1,a doll,4,5.75,a toy,2,5.4,0.9276173343,1.09737649,2.722222222
iPal,-0.95,1.533333333,-0.5166666667,-0.6184210526,1.157894737,-0.75,3.866666667,4.066666667,-1.263157895,-0.5263157895,2.684210526,5.368421053,a child,6,4.642857143,a skateboarder,3,3.8,ASIMO from Honda Robotics,2,5.133333333,0.9949236326,1.09108793,2.210526316
iRobiQ,-1.075,-0.125,-1.675,-0.9375,1.15,-1.3125,5,5.05,-0.75,-1.4,3.1,5.1,a slot machine,4,6.15,a telephone,3,3.15,a cash register,2,4.4,1.060856947,1.062318606,3.1
Jelly,-1.4,-1.9375,-2.025,-1.518072289,0.4337349398,-0.2142857143,5.85,4.85,-0.7619047619,-0.9523809524,2.380952381,3.714285714,a car rearview mirror,4,6.3,a GPS device,3,5.85,a camera,2,6.35,1.060856947,1.097941842,2.80952381
Jibo,-1.302631579,-2.210526316,-2.078947368,-1.184210526,0.5526315789,-0.7763157895,5.947368421,5.210526316,-1.736842105,-1.105263158,2.722222222,4.842105263,a speaker,5,7.263157895,a camera,4,5.736842105,an eyeball,2,4.315789474,1.036198785,1.076699374,2.666666667
Jimmy,0.140625,1.828125,0.09375,-0.6478873239,0.9166666667,-0.5138888889,4,3.75,-0.3333333333,-1.277777778,3.555555556,5.444444444,a toddler,6,6.3125,a mushroom,2,3.8125,a skeleton,1,3,0.8486855577,1.048497405,3.166666667
K5,-0.2625,0.125,-1.3,-1.4625,0.5125,-0.3125,5.5,4.35,-0.6,-1.5,3.05,4.9,a rocket,7,6.894736842,R2-D2 from the Star Wars franchise,3,5.35,"a Dalek from the show ""Doctor Who""",2,5.2,0.9596147939,1.090162803,4.3
Kaspar,0.05,0.475,-0.0125,-0.3382352941,0.3235294118,0.1764705882,3.9,4.65,0.4705882353,-1.941176471,2.588235294,3.352941177,a doll,5,7.6,a toddler,3,6.1,"Chucky from ""Child's Play""",3,5.65,1.067089519,1.090426682,2.705882353
Keepon,-0.9868421053,-1.368421053,-1.302631579,-0.484375,-0.125,-0.5625,5.578947368,7,-2.0625,-0.8125,2.625,4.125,a rubber duck,5,6.368421053,a marshmallow,3,4.052631579,Tweety Bird from Looney Toons,3,4.052631579,1.067089519,1.074092221,2.3125
Kibo,-0.4705882353,1.911764706,-0.0147058824,-0.6447368421,1.381578947,-0.3684210526,4.117647059,4.352941177,0.3684210526,-1.157894737,3.421052632,5.421052632,an astronaut,6,6.352941177,a person,5,4.647058824,a turtle,2,3.705882353,1.012330839,1.073964755,3.789473684
Kiki,-0.2083333333,-1.152777778,-1.055555556,-0.4861111111,1,-1.791666667,6.111111111,5.444444444,-1.666666667,-0.6111111111,3.388888889,5.777777778,a cat,8,5.833333333,a dog,3,3.888888889,a racoon,2,6,0.9251290836,1.081027547,2.777777778
Kirobo,-0.175,1.1625,-0.2375,-1.220588235,0.7794117647,-0.7647058824,3.25,3.85,-0.1176470588,-1.588235294,3.823529412,5.764705882,a child,3,5.15,an alien,2,5.75,"Astro Boy from the anime ""Astro Boy""",1,5.1,1.011404265,1.097097535,2.647058824
Kismet,-0.671875,-0.453125,-0.5,-1.452380952,-0.1547619048,0.6071428571,6.375,6.625,-0.380952381,-1.142857143,2.190476191,3.904761905,"Gizmo from the movie ""Gremlins""",4,6.25,a chimpanzee,2,3.8125,a chihuahua,1,2.9375,0.9556998911,1.047935861,2.571428571
