ROBOT,PERCEPTION,TACTILE_MOBILITY,NONVERBAL,WARMTH,COMPETENCE,DISCOMFORT,AMBIGUITY,ATYPICALITY,MASCULINE,FEMININE,IDENTIFY,LIKEABILITY,METAPHOR1_NAME,METAPHOR1_COUNT,METAPHOR1_RATING,METAPHOR2_NAME,METAPHOR2_COUNT,METAPHOR2_RATING,METAPHOR3_NAME,METAPHOR3_COUNTS,METAPHOR3_RATING,ENTROPY_COUNTS,ENTROPY_RATINGS,ROLE
Kiwi,-1.5,-1.140625,-1.8125,-0.4342105263,0.1578947368,-0.24,5.75,7,-1.631578947,0.3157894737,1.684210526,3.578947368,an owl,4,5.375,a parrot,3,3.5,a hula dancer,2,3.1875,1.060856947,1.070893974,2.631578947
KK-X1,-0.1388888889,1.555555556,-0.5277777778,-1.35,1.175,-0.8625,5,4,-0.3,-1.5,2.9,4.95,a man,5,4.944444444,"Rosey the robot from the show ""The Jetsons""",3,5.333333333,a vacuum cleaner,1,2.5,0.9368883075,1.051271155,3.05
Kobian,-0.475,1.2125,-0.4125,-0.5,1.041666667,0.3055555556,3.95,4.35,0.2777777778,-0.8888888889,4.333333333,4.611111111,a clown,6,5.05,an exercise instructor,3,2.75,a doll,1,4.3,0.8979457249,1.069084979,4.055555556
Kodomoroid,0.45,1.2875,0.375,-0.109375,1.1875,-0.265625,3.5,4.65,-2.4375,1.75,3.125,4.4375,a woman,8,7.5,a mannequin,2,7.05,a doll,2,6.05,0.8675632285,1.094661469,3.625
Kuri,-1.223684211,-0.1052631579,-1.118421053,-1.296875,1.015625,-1.765625,4.578947368,5.157894737,-1.9375,-0.9375,2.3125,5.75,a penguin,3,5.52631579,"Rosey the robot from the show ""The Jetsons""",2,5.052631579,a Roomba,2,2.736842105,1.078992208,1.057864048,2.0625
Leka,-1.058823529,-1.558823529,-1.397058824,-0.6785714286,0.5714285714,-0.9047619048,6.470588235,6.470588235,-1.761904762,0.6666666667,2.904761905,5.380952381,a ball,10,6.588235294,a clock,1,4.647058824,a Tamagotchi,1,5.705882353,0.566085739,1.088636804,2.333333333
Leonardo,0.0476190476,0.7738095238,0.2261904762,0.4210526316,0.8157894737,0.1973684211,6.190476191,6.619047619,-0.4736842105,-0.4736842105,3.684210526,5.736842105,a Furby,6,7.238095238,Ewok from the Star Wars Franchise,5,5.904761905,"Gizmo from the movie ""Gremlins""",4,6.904761905,1.085188613,1.094957903,3.578947368
Loomo,-0.5416666667,0.5138888889,-1.625,-1.347222222,0.25,-0.2638888889,6.277777778,5.666666667,-1.055555556,-2,3,4.666666667,a Segway,5,7.166666667,"WALL-E from the movie ""WALL-E""",3,5.333333333,a camera,2,5.277777778,1.029653014,1.087972461,3.277777778
LYNX,-0.2333333333,1.216666667,-0.65,-0.7361111111,1.083333333,-1.027777778,4,5,0.0555555556,-1.555555556,3.333333333,5.777777778,a cat,4,1.8,a toy,4,7.6,a child,4,3.933333333,1.098612289,0.9508727281,3.444444444
M1,-0.6447368421,1.171052632,-0.7631578947,-0.925,1.012658228,-0.1898734177,4.315789474,4.947368421,-0.6,-1.052631579,3.5,4.65,an alien,2,5.736842105,a vacuum cleaner,2,4.157894737,a person,2,4.052631579,1.098612289,1.08532863,4.2
Mabu,-0.3472222222,-0.2916666667,-1.027777778,-0.5571428571,1.098591549,-1.211267606,5.5,5.388888889,-1.529411765,-0.7222222222,2.888888889,5.055555556,a child,4,4.777777778,a doll,3,6.444444444,a glowworm,2,3.777777778,1.060856947,1.074655835,2.666666667
Mahru,-0.265625,1.78125,-0.078125,-0.7763157895,1.513157895,-1.078947368,3.625,3.75,0.3684210526,-1.631578947,3.842105263,5.789473684,a person,4,5.5,an astronaut,3,6.1875,a toy,3,7,1.088899975,1.093773411,3.684210526
Maki,0.0394736842,-1.236842105,-0.7894736842,-0.95,0.5,-0.1625,5.368421053,5.368421053,-0.7,-1.05,3.2,4.75,a human head,3,5.52631579,"Casper from the show ""Casper the Friendly Ghost""",2,4.631578947,a mannequin,1,5.578947368,1.011404265,1.095105713,3.2
Manav,0.1,1.6,-0.0125,-0.453125,1.15625,-0.71875,4.1,3.15,-0.125,-1.4375,4.0625,5.25,a person,4,3.9,a skeleton,2,4.25,a mannequin,1,4.15,0.9556998911,1.097963992,3.375
MarsCat,-1.328947368,0.3026315789,-0.7368421053,-0.5833333333,0.6805555556,-1.263888889,3.210526316,4.210526316,-1.5,0.2777777778,3.444444444,5.666666667,a cat,11,6.888888889,a toy,3,7.611111111,a mouse,1,1.473684211,0.72987121,0.9358018664,2.555555556
Miko2,-0.5357142857,-0.2261904762,-0.9523809524,-1.097222222,0.9027777778,-1.875,6.238095238,4.904761905,-1.277777778,-1.166666667,2.611111111,6.166666667,Alarm Clock,3,5.904761905,a toy,2,7.285714286,a speaker,3,6.380952381,1.08219553,1.094791635,2.333333333
Millennia,-0.1527777778,1.388888889,-0.4861111111,0.0735294118,1.691176471,0.4852941176,5.555555556,4.611111111,0.5882352941,0.0588235294,3.764705882,5.235294118,a vacuum cleaner,3,4.111111111,a praying mantis,3,3.111111111,an alien,2,6.222222222,1.08219553,1.057564234,4.529411765
MiP,0.0555555556,1.791666667,-0.3194444444,-0.7159090909,1.420454546,-1.045454546,4.666666667,4.222222222,0.1363636364,-1.5,4,5.727272727,R2-D2 from the Star Wars franchise,3,5.111111111,a toy,3,6.944444444,a lawn mower,1,1.944444444,1.004242473,0.9898221494,4.136363636
MiRo,-1.055555556,-0.0833333333,-1.305555556,0.0563380282,0.6805555556,-1.236111111,4.777777778,5,-1.166666667,-1.055555556,3.666666667,5.666666667,a dog,3,6.388888889,a donkey,3,4.833333333,a cow,3,2.944444444,1.098612289,1.052531496,2.888888889
Misty,-0.1875,0.5,-1.0875,-0.3970588235,1.308823529,-1.132352941,5.15,5.05,-0.5882352941,-1.117647059,4,5.411764706,a toy,4,7.631578947,"WALL-E from the movie ""WALL-E""",3,6.3,a vacuum cleaner,3,3.7,1.088899975,1.057833854,2.882352941
Mobiserv,-0.2794117647,0.4264705882,-1.132352941,-1.013157895,0.8026315789,-0.2236842105,5.705882353,6.294117647,-1.789473684,0.2631578947,2.894736842,4.421052632,a person,3,4.352941177,a cartoon character,4,6.588235294,"Rosey the robot from the show ""The Jetsons""",1,5.470588235,0.9743147529,1.084600874,3.052631579
MoRo,-1.460526316,0.4933333333,-1.368421053,-0.9473684211,0.7894736842,-0.2105263158,6.421052632,6.263157895,-0.5263157895,-0.7368421053,3.263157895,4.947368421,a cactus,3,2.631578947,a blender,2,5.421052632,a punching bag,2,5.105263158,1.078992208,1.054560114,3.578947368
Moxie,-0.6666666667,-0.3472222222,-1.180555556,-0.4736842105,0.75,-1.368421053,5.444444444,4.833333333,-1.894736842,-0.5789473684,4.210526316,5.368421053,a toy,5,7.944444444,a toddler,2,3.944444444,"Eve from the movie ""WALL-E""",2,4.555555556,0.9950269902,1.04952151,3
Mung,-0.3194444444,-1.402777778,-1.430555556,-1.225,-0.05,0.0375,6.235294118,5.529411765,-1.05,-0.45,2.05,2.7,a light bulb,5,6.944444444,a human head,4,4.666666667,an alien,3,7.222222222,1.077556327,1.081140795,2.6
Musio,-0.6315789474,-0.3815789474,-0.9210526316,-0.1805555556,1.138888889,-1.126760563,6.157894737,5.052631579,-1.058823529,-0.4705882353,4.555555556,6.277777778,"Eve from the movie ""WALL-E""",5,4.578947368,a pokemon,2,5.684210526,a Tamagotchi,1,4.52631579,0.9002560513,1.092881195,3.611111111
Mykie,-1.191176471,-1.691176471,-1.735294118,-0.828125,1.015625,-0.625,6.470588235,6.588235294,-1.1875,-0.0625,3.4375,5.25,a desk lamp,3,6.235294118,"Eve from the movie ""WALL-E""",3,4.882352941,a mirror,2,3.470588235,1.08219553,1.071239135,2.875
Nadine,0.225,1.025,0.4875,-0.2875,1.3875,-0.2375,4.05,4.25,-1.9,1.9,3.4,5.1,a woman,8,7.6,an office worker,4,7.6,a teacher,3,7.15,1.009613758,1.098204097,4.8
Nao,-0.4444444444,1.805555556,-0.1111111111,-0.1842105263,1.434210526,-0.2933333333,3.333333333,3.222222222,0.4736842105,-1.157894737,3.157894737,4.894736842,a child,5,5.055555556,a toy,3,8,a mannequin,2,5.388888889,1.029653014,1.076555767,4.210526316
Nexi,-0.2976190476,1.404761905,-0.380952381,-0.9473684211,0.5657894737,0.4342105263,5.857142857,6.238095238,-0.6315789474,-1.421052632,2.789473684,3.473684211,a doll,4,6.619047619,"Babyhead from the movie ""Toy Story""",3,6.095238095,a Segway,2,4.380952381,1.060856947,1.08400122,3.736842105
Octavia,-0.5595238095,1.05952381,-0.2857142857,-0.9736842105,0.56,0.6315789474,5.047619048,6.380952381,-0.1578947368,-1.736842105,2.210526316,3.368421053,a wheelchair,6,4.736842105,a child,4,4.190476191,a doll,1,4.571428571,0.9164648855,1.097309367,3.421052632
Olivia,0.225,1.1625,-0.4875,-0.9210526316,1.315789474,-0.4210526316,5.55,5.15,-0.9473684211,-0.8947368421,3.105263158,5.473684211,an astronaut,3,5.1,a snowman,2,4.5,a chess piece,1,5.2,1.011404265,1.096620431,3.631578947
Olly,-1.723684211,-2.289473684,-2.171052632,-1.328947368,0.9736842105,-1.315789474,6.052631579,6.052631579,-0.9473684211,-1.333333333,2.842105263,5.684210526,a donut,6,6.947368421,a table fan,5,3.578947368,a speaker,2,5.421052632,1.012330839,1.064117414,2.789473684
Otto,-1.75,-2,-1.9875,-1.525,0.15,-0.5125,6,5.55,-0.35,-1.45,2.55,4.65,a speaker,4,7.25,a child,2,2.5,a microphone,2,5.8,1.039720771,1.017464922,2.05
Padbot P3,-0.2833333333,-0.1333333333,-1.2,-0.0972222222,1.291666667,-1.597222222,4.333333333,4.133333333,-1.166666667,-0.0555555556,3.944444444,6.611111111,a trashcan,3,4.2,a penguin,2,3.733333333,a doll,2,4,1.078992208,1.097453648,3.5
PALRO,-0.8157894737,1.052631579,-0.6973684211,-0.9431818182,0.8068181818,-1.113636364,4.263157895,3.947368421,0.7727272727,-1.363636364,3.772727273,5.454545455,an astronaut,4,6.368421053,a toy,3,8,a LEGO figure,2,4.421052632,1.060856947,1.070707473,2.727272727
PaPeRo,-0.7368421053,-0.6184210526,-1.342105263,-0.7625,0.475,-0.6962025316,5.368421053,5.157894737,-0.3,-0.8,3.15,5.3,a dog,4,2.684210526,a penguin,2,3.894736842,R2-D2 from the Star Wars franchise,2,4.157894737,1.039720771,1.081794972,2.25
Paro,-0.9411764706,-1.161764706,-1.191176471,0.369047619,0.5,-1.626506024,4.764705882,5.705882353,-1.142857143,-0.2380952381,3.333333333,6.904761905,a seal,11,7.117647059,a teddy bear,1,4.058823529,a walrus,1,4.117647059,0.5359610497,1.061302124,2.714285714
Pepper,-0.359375,1.265625,-0.15625,-0.5882352941,1.014705882,-0.5882352941,5.3125,4.0625,-1.411764706,-0.2352941176,3.117647059,5.588235294,a woman,3,4.9375,"Rosey the robot from the show ""The Jetsons""",2,5.1875,a mermaid,2,4.75,1.078992208,1.097960234,3.882352941
Photon,-0.7638888889,0.0694444444,-1.180555556,-1.078947368,0.6315789474,-0.9342105263,5.555555556,5.888888889,-1,-0.6315789474,3.315789474,5.368421053,a dog,4,4.388888889,a rabbit,3,4.166666667,a tricycle,2,4,1.060856947,1.097889205,2.578947368
Pillo,-1.4375,-2.6625,-1.925,-0.5735294118,0.5,-0.6617647059,6.3,6.7,-1.176470588,-0.3529411765,3,4.235294118,a clock,3,5.55,a water dispenser,3,5.45,a child,3,3.45,1.098612289,1.077263642,2.352941177
Pleo,-0.8181818182,-0.1704545455,-1.056818182,-1.039473684,-0.1710526316,-1.605263158,3.045454546,3.863636364,-0.5789473684,-1.578947368,3,6.578947368,a dinosaur,7,7.909090909,"Little Foot from the movie ""The Land Before Time""",4,6.090909091,a toy,3,7.954545455,1.034601233,1.091354748,2.368421053
Promobot v4,-0.75,1.55,-0.825,-0.2933333333,1.460526316,-0.0789473684,4.35,4.8,0.4210526316,-1.52631579,4.263157895,5.368421053,"a Transformer from the movie ""Transformers""",2,5.4,a Roomba,2,3.95,a man,3,4.65,1.078992208,1.090545654,4.789473684
Pudding BeanQ,-0.5238095238,-1.476190476,-1.642857143,-0.7763157895,0.2894736842,-1.171052632,6.571428571,5.761904762,-1.368421053,-0.5263157895,3.421052632,5.578947368,the Android Logo,2,4.952380952,an earpod,2,5.523809524,a lima bean,1,4.571428571,1.054920168,1.09558227,3.052631579
Qbo,-0.625,-0.125,-1.0375,-0.5774647887,0.75,-0.8472222222,6.15,5.95,-1.111111111,0,2.777777778,5.611111111,R2-D2 from the Star Wars franchise,2,4.05,a Roomba,2,2.8,a toad,1,2.9,1.054920168,1.083893042,2.722222222
Qrio,-0.3194444444,1.777777778,-0.6944444444,-1.558823529,0.8676470588,-0.5588235294,3.166666667,3,0.2941176471,-1.411764706,2.588235294,4.529411765,a person,4,4.833333333,C3PO from the Star Wars Franchise,2,5,an action figure,3,7.222222222,1.060856947,1.080931281,3.058823529
QTrobot,-0.875,0.8875,-0.5125,-0.25,1.125,-1.083333333,3.85,3.4,-0.3888888889,-0.8888888889,4.333333333,6.555555556,a toddler,6,4.25,a doll,4,5.95,an inflatable yard decoration,2,3.55,1.011404265,1.074984466,3.333333333
Quori,-0.15,1.475,-0.275,-0.8676470588,1.220588235,-0.8970588235,5,4.3,-0.7058823529,-1.176470588,3,5.176470588,"Rosey the robot from the show ""The Jetsons""",4,5.7,a maid,2,5.8,an astronaut,2,4.1,1.039720771,1.086932471,3.875
Reddy,0.1111111111,1.225352113,-0.2222222222,-0.7647058824,0.6176470588,0.3382352941,5.555555556,4.555555556,0.4117647059,-1.117647059,3.470588235,4.058823529,"a Transformer from the movie ""Transformers""",2,4.833333333,a LEGO figure,2,5.722222222,a person,2,4.722222222,1.098612289,1.094820374,4.25
REEM-B,0.2638888889,2.013888889,0.5,-1.333333333,0.9583333333,-0.1111111111,3.833333333,3.666666667,1.388888889,-2.277777778,3.833333333,5.055555556,a person,6,5.111111111,"a Transformer from the movie ""Transformers""",3,6,"Terminator from the movie ""Terminator""",1,4.444444444,0.8979457249,1.091086559,4.764705882
REEM-C,0.4880952381,1.952380952,0.3333333333,-0.75,0.6578947368,0.0789473684,3.619047619,3.047619048,1,-1.421052632,3.473684211,4.368421053,a crash test dummy,3,6.523809524,Storm Trooper from the Star Wars Franchise,3,4.666666667,an astronaut,2,4.285714286,1.08219553,1.081218813,4.105263158
Reeti,-1.013157895,-1.533333333,-1.64,-0.4411764706,0.2794117647,-0.1764705882,6.894736842,7.210526316,-0.9411764706,-1.294117647,1.941176471,4.411764706,an alien,5,7.388888889,"Shrek from the movie ""Shrek""",4,4.894736842,a frog,2,4.894736842,1.036198785,1.078356267,2.117647059
Robina,0.2763157895,1.592105263,0.1184210526,-0.5394736842,1.013157895,-0.1578947368,4.789473684,5.157894737,-1.842105263,0.8947368421,2.894736842,4.315789474,"Rosey the robot from the show ""The Jetsons""",3,4.368421053,a vacuum cleaner,3,3.894736842,a woman,2,5.842105263,1.08219553,1.083440564,3.473684211
Robit,-0.6875,0.175,-0.725,-1.065789474,0.7631578947,-0.3289473684,5.8,6.15,-0.6315789474,-0.6842105263,2.315789474,4.157894737,"E.T. from the movie ""E.T.""",4,4.4,a ghost,2,4,a router,2,3.75,1.039720771,1.096438485,2.578947368
RoboThespian,0.1375,1.85,0.4375,-0.8194444444,1.309859155,-0.4166666667,4.9,4.55,0.5,-1.555555556,3.277777778,4.944444444,"Terminator from the movie ""Terminator""",3,4.95,C-3PO from the Star Wars Franchise,3,6.15,a skeleton,2,5.85,1.08219553,1.094466505,4.166666667
Robovie,0.1690140845,1.527777778,-0.6527777778,-0.5277777778,0.9444444444,-0.8472222222,5.611111111,5.388888889,-1.111111111,-0.7222222222,3,5.944444444,a child,5,6.333333333,"Casper from the show ""Casper the Friendly Ghost""",3,6.222222222,a doll,2,6.333333333,1.029653014,1.098577618,2.888888889
Roboy,0.3235294118,1.397058824,0.0735294118,-0.6197183099,0.9436619718,0.1971830986,5.529411765,5.117647059,0.5555555556,-1.222222222,3.611111111,4.5,a child,6,5.5,a skeleton,2,5.411764706,an alien,2,5.764705882,0.9502705392,1.09825002,4.388888889
Romeo,-0.1125,1.5375,-0.0625,-0.3333333333,1.069444444,-0.6388888889,2.95,3.5,0.8333333333,-1.222222222,4.222222222,5.277777778,a child,8,6.052631579,a toy,3,5.7,a crash test dummy,1,5.9,0.8239592165,1.098310757,3.833333333
SAM,-0.8125,-0.421875,-1.15625,-0.421875,1.140625,-0.625,5.8125,5.3125,-1.3125,-1.0625,2.9375,5.375,"Rosey the robot from the show ""The Jetsons""",5,7.25,a person,4,6.875,an hourglass,3,3.3125,1.004242473,1.047359546,3.125
Sanbot Elf,-0.3375,0.675,-0.6875,-0.1666666667,1.569444444,-0.9583333333,5.2,5.3,-0.9444444444,0.9444444444,4.111111111,6.333333333,a person,3,5.3,a vacuum cleaner,2,4.2,a lawn mower,2,5.55,1.077556327,1.091591968,3.888888889
Sanbot Max,0.4473684211,1.918918919,-0.2266666667,-0.7941176471,1,0.0294117647,4.722222222,4.736842105,0.1764705882,-0.8823529412,3.588235294,5.235294118,a vacuum cleaner,3,4.588235294,a child,3,5.368421053,a kiosk,1,2.894736842,1.078992208,1.06810603,4.058823529
Sanbot Nano,-0.4411764706,0,-0.8970588235,0.0131578947,1.27631579,-0.9210526316,4.058823529,5,-0.1578947368,-1.052631579,4.842105263,6.315789474,a kiosk,3,3.823529412,a computer screen,3,4.882352941,a trashcan,1,4.176470588,1.004242473,1.093413217,3.789473684
Sawyer,-0.6547619048,0.7976190476,-0.5,-1.070422535,0.8611111111,0.2222222222,6.428571429,6.666666667,-0.5,-1.222222222,3.5,5.166666667,a fire hydrant,4,4.476190476,a snake,4,4.761904762,a tablet,2,3.095238095,1.054920168,1.082226129,3.833333333
Silbot 3,-0.6375,1.2625,-0.2,0.1111111111,1.430555556,-0.8055555556,6.3,5.45,-2.055555556,1.777777778,3.833333333,5,a woman,5,4.7,a chess piece,3,6.2,a Roomba,1,4,0.9368883075,1.081835921,3.944444444
Simon,-0.525,0.05,-1.025,-1.25,0.53125,0.015625,5.55,6.35,-0.6875,-1.75,2.4375,3.6875,a person,3,4.55,Puppet,2,6.15,a pogo stick,1,4.85,1.011404265,1.089844823,2.9375
Sipro,-0.2857142857,0.0238095238,-1.154761905,-0.25,0.8,-0.975,6.761904762,6.238095238,-1.3,-0.35,3.95,5.45,a panda,8,6.190476191,a bowling pin,3,6,a penguin,2,4.952380952,0.9251290836,1.093971664,3.8
Snow,-0.4047619048,-0.1071428571,-0.8333333333,0.1052631579,1.413333333,-1.552631579,5.761904762,5.095238095,-1.684210526,0.4736842105,4.315789474,6.5,a bowling pin,2,5.952380952,a punching bag,2,5.285714286,a penguin,1,4.523809524,1.054920168,1.092404254,3.842105263
Sophia,-0.5147058824,1.5,-0.5735294118,-0.0632911392,0.825,-0.1153846154,4.411764706,4.176470588,-1.85,1.35,3.75,5.2,a woman,12,6,"Android from the Movie ""Ex Machina""",2,5.470588235,a nun,1,2.823529412,0.6277052572,1.052334578,4.1
Surena,-0.2894736842,2.039473684,-0.2105263158,-0.8026315789,1.289473684,-0.4210526316,3.210526316,2.947368421,1.210526316,-1.52631579,4.052631579,5.578947368,C-3PO from the Star Wars Franchise,3,5.578947368,a man,4,5.52631579,"RoboCop from the movie ""RoboCop""",3,5.421052632,1.088899975,1.098541182,4.473684211
Talk-Torque 2,-0.6315789474,1.223684211,-0.75,-0.5535714286,0.7678571429,0,5.842105263,5.578947368,-1.142857143,0.3571428571,3.214285714,4.5,an alien,6,6.473684211,a nun,4,3.578947368,a person,4,3.684210526,1.078992208,1.05793088,3.642857143
Tapia,-0.25,-1.078947368,-1.065789474,-0.2916666667,0.3943661972,-0.5555555556,6.315789474,6.052631579,-0.1666666667,-0.5555555556,4.111111111,5.055555556,an egg,4,6.777777778,an owl,3,4.421052632,a light bulb,2,5.052631579,1.060856947,1.082093375,3.166666667
Tega,-1.052631579,-1.013157895,-1.315789474,-0.9868421053,-0.1184210526,0.1842105263,6.842105263,7.315789474,-1.105263158,-1.105263158,1.52631579,3,a chicken,3,3.631578947,a puppet,2,6,a Furby,1,5.368421053,1.011404265,1.077656904,2
Temi,-0.2222222222,-0.7361111111,-1.277777778,-1.75,1.1,-1.15,5.5,5.111111111,-0.75,-1.45,1.75,4.6,a vacuum cleaner,5,6.111111111,a scale,2,5.944444444,a kiosk,2,6.5,0.9950269902,1.097907832,2.85
TIAGo,-0.4411764706,1.176470588,-0.7205882353,-0.9428571429,1.23943662,-1.027777778,5.294117647,4.294117647,-0.1666666667,-1.111111111,3.666666667,5.5,a vacuum cleaner,6,4.588235294,a butler,2,5.235294118,a power washer,2,3.764705882,0.9502705392,1.089688521,3.111111111
Tico,-0.4736842105,0.1052631579,-0.7631578947,-0.52,1.421052632,-0.7866666667,5.894736842,5.631578947,-1.157894737,-0.5263157895,3.421052632,6.105263158,"WALL-E from the movie ""WALL-E""",3,6.578947368,a pair of binoculars,3,5.947368421,a penguin,2,4.157894737,1.08219553,1.080919373,3.473684211
TJBot,-1.0875,-0.1,-1.575,-0.9705882353,0.3823529412,-0.75,4.7,6.3,-1.176470588,-1.117647059,3.647058824,5.411764706,a cardboard box,4,7.9,"WALL-E from the movie ""WALL-E""",2,3.3,a garbage compactor,2,4,1.039720771,1.023049547,2.882352941
Twendy One,-0.1842105263,1.27631579,-0.4210526316,-0.6578947368,0.75,-0.4868421053,5.736842105,4.736842105,1.105263158,-0.9473684211,4.157894737,5.736842105,"E.T. from the movie ""E.T.""",7,4.157894737,"Baymax from the movie ""Big Hero 6""",2,4.421052632,a butler,2,4,0.9075352941,1.097757588,5.052631579
Vector,-0.6875,0.265625,-0.75,-1.421052632,0.8421052632,-0.9736842105,6.0625,5.5625,0.2777777778,-1.473684211,2.52631579,5.52631579,a tank (vehicle),3,5.625,"WALL-E from the movie ""WALL-E""",2,5.0625,a forklift,2,4.8125,1.078992208,1.096467983,1.777777778
Vortex,-1.605263158,-0.4078947368,-1.631578947,-1.486842105,0.0526315789,-0.5657894737,6.210526316,4.842105263,-1.210526316,-1.684210526,2.210526316,4.52631579,a Roomba,4,6.894736842,"Eve from the movie ""WALL-E""",2,5,a speaker,1,5,0.9556998911,1.086433464,2.210526316
Wakamaru,-0.3055555556,1.416666667,-0.3611111111,-0.25,0.8,-1.116666667,5.555555556,4.555555556,-1.733333333,1.533333333,3.8,5.2,a woman,6,4.5,a toy,3,7.277777778,a bee,1,3.666666667,0.8979457249,1.055252611,3.466666667
Waseda Flutist,-0.2023809524,0.8571428571,-0.4166666667,-0.9722222222,0.884057971,-0.2535211268,3.380952381,4.904761905,1.117647059,-2.166666667,3.222222222,4.833333333,a person,10,6.142857143,a cowboy,2,3.714285714,C-3PO from the Star Wars Franchise,2,4.190476191,0.7963116402,1.074281362,3.588235294
Yumi,-0.7647058824,-0.5735294118,-1.029411765,0.1388888889,1.652777778,-1.583333333,5.588235294,4.352941177,-0.6666666667,-0.2352941176,5.777777778,7.555555556,a speaker,6,5.411764706,"Eve from the movie ""WALL-E""",2,6.176470588,a clock,2,4.058823529,0.9502705392,1.08415896,4.888888889
Zenbo,-0.5568181818,0,-0.7840909091,-0.1973684211,0.9736842105,-0.3289473684,5.227272727,4.545454546,-0.8333333333,-0.3157894737,3.473684211,6.052631579,"WALL-E from the movie ""WALL-E""",4,5.863636364,BB-8 from the Star Wars franchise,3,4.454545455,a helmet,2,4.863636364,1.060856947,1.091873633,3.52631579
Zeno,-0.6470588235,1.147058824,-0.3529411765,-0.9166666667,0.4939759036,-0.9880952381,3.411764706,4.352941177,1.142857143,-2.238095238,3.523809524,5.142857143,"Static from the comic ""Static Shock""",6,6.5625,an astronaut,5,5.375,a person,5,6.5,1.094780226,1.094580923,2.952380952