Robot Name	Link	Height (cm)	Weight (kg)	Year	Country of Origin	Most Prominent Color	Mechanical Embodiment?	Zoomorphic Embodiment?	Humanoid Embodiment?	Can Move? (moving from A to B)	number of wheels	Screen Face?	Static Face?	Mechanical Face?	number of legs	number of arms	number of eyes	Matte Body?	Mouth?	Nose?	Eyebrows?	Cheeks/blush?	Hair Follicles?	Mechanical Hair?	Furry?	Ears?	Eyelids?	Pupils?	Irises?	Eyelashes?	Lips?	Eye placement (up, raised, center, low, or down?)	Distance between eyes (close, middle, far, opposite ends)	mechanical spline lips?	symmetric embodiment?	Exposed Wires?	Industry?	Toy/doll/child?	Does it ride on something?	Treads?	Hard Exterior?	High Waist-Hip Ratio	HIgh Shoulder-Waist Ratio	High Shoulder-Hip Ratio	Low Shoulder-Hip Ratio
Kismet	https://robots.ieee.org/robots/kismet/	38	7	1998	United States	silver	1	1	0	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0	0	1	1	1	1	1	1	center	middle	1	1	1	0	1	0	0	1	0	0	0	0
Kiwi	https://robots.ieee.org/robots/kiwi/	30	UNK	2016	United States	green	0	1	0	0	0	1	0	0	2	2	2	1	1	0	1	0	1	0	1	1	0	1	1	0	0	center	middle	0	1	0	0	0	1	0	1	0	0	0	1
KK-X1	http://www.gblrobotics.com/kkx1.html	160	80	2017	Russia	white	1	0	1	1	3	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	1	0	0
Kobian	https://robots.ieee.org/robots/kobian/	140	62	2007	Japan	white	1	0	1	1	0	0	0	1	2	2	2	0	1	1	1	0	0	0	0	1	1	1	0	0	1	raised	middle	1	1	1	0	0	0	0	1	0	0	0	0
Kodomoroid	http://www.geminoid.jp/en/robots.html	165	UNK	2014	Japan	beige	0	0	1	0	0	0	1	0	2	2	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	raised	middle	0	1	0	0	1	1	0	0	0	0	0	0
Kuri	https://robots.ieee.org/robots/kuri/	50	6	2017	United States	white, black	1	0	1	1	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	1	0	0	1	0	0	0	1
Leka	https://leka.io/	20	UNK	2018	France	white	1	0	0	1	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	1	0	0	1	0	0	0	0
Leonardo	https://robots.ieee.org/robots/leonardo/	76.2	UNK	2002	United States	brown	0	1	0	0	0	0	1	0	2	2	2	1	1	1	1	1	0	0	1	1	1	1	1	1	1	center	middle	0	1	0	0	0	1	0	0	0	0	0	1
Loomo	https://store.segway.com/segway-loomo-mini-transporter-robot-sidekick	65	19	2018	United States	black	1	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
LYNX	https://www.ubtrobot.com/products/lynx-with-amazon-alexa?ls=en	44	2.3	2017	United States	white	0	0	1	1	0	0	1	0	2	2	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
M1	https://robots.ieee.org/robots/m1/	160	165	2011	United States	white	1	0	1	1	4	0	1	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	1	0	1	0	0	1	0	0	0	0
Mabu	https://robots.ieee.org/robots/mabu/	31	UNK	2015	United States	yellow	0	0	1	0	0	0	1	0	0	0	2	1	1	0	0	0	0	1	0	0	1	1	1	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
Mahru	https://robots.ieee.org/robots/mahru/	140	65	2005	South Korea	white/blue	0	0	1	1	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	raised	middle	0	1	1	0	0	1	0	1	0	0	0	0
Maki	https://www.wevolver.com/wevolver.staff/maki.robot/#:~:text=MAKI%20is%20a%20communication%20robot,an%20Arbotix%20Robocontroller%20or%20Arduino.	34.2	1.86	2013	United States	white	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	1	1	1	0	0	center	middle	0	1	0	0	0	0	0	1	0	0	0	0
Manav	https://www.livemint.com/Industry/rc86Iu7h3rb44087oDts1H/Meet-Manav-Indias-first-3Dprinted-humanoid-robot.html	61	2	2014	India	white	0	0	1	1	0	0	1	0	2	2	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	1	0	1	0	0	1	0	1	0	0
MarsCat	https://www.elephantrobotics.com/en/mars-en/	32.9	2.5	2020	China	white, black	0	1	0	1	0	0	1	0	4	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	center	middle	0	1	0	1	1	1	0	1	0	0	0	0
Miko2	https://miko.ai/	18	0.89	2018	India	blue, red, green	1	0	0	1	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	1
Millennia	https://internationalrobotics.com/millennia-robot/	185	UNK	2008	United States	white/blue	1	0	1	1	3-4	0	1	0	0	2	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	center	far	0	1	0	0	1	1	0	1	1	1	0	0
MiP	https://wowwee.com/mip	27	1	2014	Hong Kong	white, black, silver	1	0	1	1	2	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	1	1	0	1	1	1	0	0
MiRo	http://consequentialrobotics.com/miro/	36	3.3	2017	United Kingdom	white	0	1	0	1	3	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	1	1	1	0	0	center	far	0	1	0	1	1	1	0	1	0	0	0	1
Misty	https://robots.ieee.org/robots/misty/	35.5	2.7	2018	United States	white	1	0	1	1	2	1	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	1	1	0	0	center	middle	0	1	0	1	0	1	1	1	0	0	0	1
Mobiserv	http://www.kurzweilai.net/a-personalized-robot-companion	120	UNK	2009	Europe	green	1	0	1	1	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	raised	middle	0	1	0	0	0	1	0	1	0	0	0	1
MoRo	https://www.roboticsbusinessreview.com/service/have_30000_moro_the_robot_assistant_can_help_around_your_house/	120	35	2017	China	white	1	0	1	1	3-4	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1
Moxie	https://embodied.com/products/moxie-reservation	40	3.34	2020	United States	blue	0	0	1	0	0	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	1	1	1	1	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	0
Mung	https://www.roboticstoday.com/robots/mung-description	17	UNK	2007	South Korea	white	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	raised	far	0	1	0	0	1	0	0	1	0	0	1	0
Musio	https://themusio.com/home	21.8	0.85	2015	Japan	white	0	0	1	0	0	1	0	0	2	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	0
Mykie	http://www.bosch-presse.de/pressportal/de/en/my-kitchen-elf-%E2%80%93-mykie-83331.html	60	UNK	2017	Germany	white	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	1
Nadine	https://en.wikipedia.org/wiki/Nadine_Social_Robot	131	35	2013	Japan	beige	0	0	1	0	0	0	1	0	2	2	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	center	middle	0	1	0	0	0	0	0	0	0	0	0	0
Nao	https://robots.ieee.org/robots/nao/	58	5.5	2008	France	white	0	0	1	1	0	0	1	0	2	2	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	0	1	0	1	0	1	0	0
Nexi	http://robotic.media.mit.edu/portfolio/nexi/	122	15	2008	United States	white	1	0	1	1	2	0	1	0	0	2	2	0	1	1	1	1	0	0	0	0	1	1	1	0	0	center	middle	0	1	1	0	0	1	0	1	0	1	0	0
Octavia	https://robots.ieee.org/robots/octavia/	175	168	2009	United States	white/black	1	0	1	1	2	0	1	0	0	2	2	0	1	1	1	1	0	0	0	0	1	1	1	0	0	center	middle	0	1	1	0	0	1	0	1	0	0	0	0
Olivia	https://robots.ieee.org/robots/olivia/	160	152	2009	Singapore	white	1	0	1	1	3-4	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	center	far	0	1	0	1	0	0	0	1	0	0	0	1
Olly	https://www.indiegogo.com/projects/olly-the-first-home-robot-with-personality#/updates/all	19	0.9	2017	United Kingdom	black	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0
Otto	https://www.sammobile.com/2016/04/28/otto-is-a-cute-personal-assistant-robot-from-samsung/	30	UNK	2016	South Korea	white	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	1
Padbot P3	https://www.padbot.com/padbotp3	100	18	2016	China	white	0	0	1	1	3	1	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	raised	middle	0	1	0	1	0	0	0	1	0	0	0	1
PALRO	https://palro.jp/en/	40	1.9	2010	Japan	white	1	0	1	1	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0
PaPeRo	https://www.necplatforms.co.jp/solution/papero_i/	24	1.3	1997	Japan	white	1	0	1	1	3-4	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	center	middle	0	1	0	1	1	0	0	1	0	0	0	0
Paro	https://robots.ieee.org/robots/paro/	16	2.7	2004	Japan	white	0	1	0	0	0	0	1	0	0	0	2	1	1	1	1	1	0	0	1	0	1	1	1	1	0	center	middle	0	1	0	0	0	1	0	0	0	0	0	0
Pepper	https://robots.ieee.org/robots/pepper/	120	28	2014	Japan	white	0	0	1	1	3	0	1	0	0	2	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	center	middle	0	1	0	1	1	1	0	1	1	1	0	0
Photon	https://robots.ieee.org/robots/photon/	19	0.69	2017	Poland	white	0	1	0	1	3	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	1
Pillo	https://www.pillohealth.com/	33	3.8	2018	United States	white	1	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	center	far	0	1	0	1	1	0	0	1	0	0	0	1
Pleo	https://robots.ieee.org/robots/pleo/	17.8	1.6	2006	United States	green	0	1	0	1	0	0	1	0	4	0	2	1	1	1	0	1	0	0	0	0	1	1	1	0	0	up	opposite ends	0	1	0	1	0	1	0	1	0	0	0	0
Promobot v4	https://promo-bot.ai/robots/promobot-v4/	150	UNK	2016	Russia	white	1	0	1	1	4	1	0	0	0	2	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	1	0	0	1	0	1	0	1
Pudding BeanQ	http://beanq.roobo.com/en/	32	1.5	2017	China	green, blue	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	0
Qbo	https://robots.ieee.org/robots/qbo/	45.6	11	2012	Spain	white	1	1	0	1	3	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
Qrio	https://robots.ieee.org/robots/qrio/	58	6.5	2003	Japan	silver	1	0	1	1	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	0	0	0	0	1	0	0	0	0
QTrobot	https://robots.ieee.org/robots/qtrobot/	64	5	2017	Luxembourg	white	0	0	1	0	0	1	0	0	2	2	2	1	1	0	1	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	0	1	0	1	0	1	1	0
Quori	http://www.quori.org/about#about-quori	150	UNK	2020	United States	white	1	0	1	1	4	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	0	0	0	0	1	1	1	0	0
Reddy	https://www.roboticstoday.com/robots/reddy	100	14	2007	Canada	red	1	0	1	1	6	0	0	1	0	2	2	0	1	0	1	0	0	0	0	0	0	1	0	0	1	center	middle	1	1	1	0	0	0	0	1	0	1	1	0
REEM-B	https://robots.ieee.org/robots/reemb/	147	60	2008	Spain	grey	1	0	1	1	0	0	1	0	2	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	raised	far	0	1	1	1	0	0	0	1	0	0	0	0
REEM-C	https://robots.ieee.org/robots/reemc/	165	80	2013	Spain	white	0	0	1	1	0	0	1	0	2	2	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	1	1	0	1	0	0	0	0
Reeti	http://www.reeti.fr/index.php/en/	44	4	2011	United Kingdom	white	0	1	1	0	0	0	1	0	0	0	2	1	1	1	0	1	0	0	0	1	1	1	0	0	1	up	middle	0	1	0	1	0	1	0	1	0	0	0	0
Robina	http://www.toyota-global.com/innovation/partner_robot/family.html	122	UNK	2009	Japan	white	1	0	1	1	6	0	1	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	raised	middle	0	1	0	0	0	1	0	1	1	0	0	1
Robit	https://www.gadgette.com/2016/02/23/meet-robit-the-simple-affordable-home-robot/	38	UNK	2017	Israel	white	1	0	1	1	3	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	1
RoboThespian	https://robots.ieee.org/robots/robothespian/	175	33	2011	United Kingdom	white	1	0	1	0	0	0	0	1	2	2	2	0	1	1	0	0	0	0	0	1	0	1	1	0	0	center	middle	0	1	1	1	0	0	1	1	1	0	0	0
Robovie	https://www.cnet.com/news/robovie-r3-robot-wants-to-hold-your-hand/	91	35	2010	Japan	white	1	0	1	1	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	center	middle	0	1	0	0	0	0	0	1	0	0	0	0
Roboy	https://roboy.org/	142	UNK	2013	Switzerland	white	1	0	1	0	0	1	0	0	2	2	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	raised	middle	0	1	1	1	0	1	0	1	0	1	0	0
Romeo	https://blog.generationrobots.com/en/romeo-naos-big-brother-robot/	140	36	2014	France	white	0	0	1	1	0	0	1	0	2	2	2	1	1	1	0	0	0	0	0	0	0	1	1	0	0	center	middle	0	1	0	0	0	1	0	1	0	0	0	0
Sanbot Elf	http://en.sanbot.com/product/sanbot-elf/design	90.2	19	2016	China	white, gold	1	0	1	1	12	1	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	0	1	0	1	1	1	0	0
Sanbot Max	http://en.sanbot.com/product/sanbot-max/performance	137	100	2016	China	white	1	0	1	1	4	1	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	raised	middle	0	1	0	1	0	1	0	1	1	1	0	1
Sanbot Nano	http://en.sanbot.com/product/sanbot-nano/performance	84.8	19	2016	China	white	1	0	1	1	3	1	0	0	0	2	2	0	1	1	1	1	0	1	0	0	0	1	1	1	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
SAM	https://spectrum.ieee.org/automaton/robotics/medical-robots/luvozo-sam-robotic-assistance-to-senior-living-facilities	150	41	2016	United States	white	1	0	1	1	2+	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	1
Sawyer	https://robots.ieee.org/robots/sawyer/	102	19	2015	United States	red	1	0	1	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	1	1	0	0	center	middle	0	0	0	1	0	0	0	1	0	0	0	0
Silbot 3	http://www.robocare.co.kr/pages/product03_en.php	114.8	25	2014	Korea	white	1	0	1	1	3	1	0	0	0	2	2	0	1	1	1	1	0	1	0	0	1	1	1	1	1	center	middle	0	1	0	1	1	1	0	1	1	1	0	0
Simon	https://robots.ieee.org/robots/simon/	172	UNK	2008	United States	white	1	1	0	0	0	0	1	0	0	2	2	0	0	1	0	1	0	0	0	2	1	1	1	0	0	center	middle	0	1	1	0	0	1	0	1	0	0	1	0
Sipro	https://www.behance.net/gallery/63150877/Sipro-Intelligent-Social-Robot	70	UNK	2018	Serbia	white	1	1	0	1	2	0	1	0	0	0	2	1	1	1	0	1	0	0	0	1	0	0	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	1
Snow	https://en.csjbot.com/content/104/1305.html	112	32	2018	China	white	1	0	1	1	6	1	0	0	0	2	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	raised	far	0	1	0	1	0	0	0	1	0	0	0	1
Sophia	https://robots.ieee.org/robots/sophia/	167	20	2016	China	beige	1	0	1	1	0	0	1	0	2	2	2	1	1	1	1	1	0	0	0	1	1	1	1	1	1	raised	middle	0	1	1	0	0	0	0	0	0	0	0	0
Surena	https://robots.ieee.org/robots/surena/	190	98	2010	Iran	white	1	0	1	1	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	0	1	0	0	1	0	0	0	0
Talk-Torque 2	https://www.roboticstoday.com/robots/talk-torque-2	150	UNK	2010	Japan	white	0	0	1	0	0	0	1	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	low	middle	0	1	0	0	1	0	0	0	0	0	0	1
Tapia	https://mjirobotics.co.jp/en/#robot	24.5	2.5	2016	Japan	white	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	center	close	0	1	0	1	0	1	0	1	0	0	0	0
Tega	http://robotic.media.mit.edu/portfolio/tega/	30	UNK	2016	United States	red, blue	0	1	0	0	0	1	0	0	0	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	center	middle	0	1	0	0	0	1	0	0	0	0	0	1
Temi	https://robots.ieee.org/robots/temi/	100	12	2018	United States	black	1	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0
TIAGo	https://robots.ieee.org/robots/tiago/	110	70	2016	Spain	white	1	0	1	1	2	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	1	0	0	1	0	0	0	0
Tico	http://www.eu-robotics-sme.org/adele-robots-s-l/	150	85	2010	Spain	white	1	0	1	1	3-4	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	raised	middle	0	1	0	0	0	1		1	0	0	0	0
TJBot	https://ibmtjbot.github.io/	18	UNK	2017	United States	any	1	1	0	0	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	down	middle	0	0	0	1	1	1	0	1	0	0	0	0
Twendy One	https://robots.ieee.org/robots/twendyone/	146	111	2007	Japan	white	1	0	1	1	4	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	center	far	0	1	0	1	0	0	0	1	0	1	0	0
Vector	https://robots.ieee.org/robots/vector/	7.6	0.7	2018	United States	black	1	0	1	1	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	up	close	0	1	0	1	0	1	1	1	0	0	0	0
Vortex	https://www.dfrobot.com/product-1314.html	6.4	0.26	2017	United States	white	1	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	0
Wakamaru	https://robots.ieee.org/robots/wakamaru/	100	30	2003	Japan	yellow	1	0	1	1	2+	0	1	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	1	1	0	1	1	0	0	1
Waseda Flutist	https://robots.ieee.org/robots/flutist/	170	150	2011	Japan	silver	1	0	1	0	0	0	1	0	2	2	2	0	1	1	1	0	0	0	0	1	1	1	0	0	0	raised	middle	0	1	1	0	1	1	0	1	0	0	0	0
Yumi	https://www.theverge.com/circuitbreaker/2016/11/2/13497722/omate-yumi-robot-alexa-indiegogo	30	UNK	2016	China	white, black	1	0	1	0	2	1	0	0	0	2	2	0	1	0	1	0	0	0	0	1	0	1	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	1
Zenbo	https://zenbo.asus.com/	100	10	2016	Taiwan	white	1	0	1	1	3-4	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	0
Zeno	https://robots.ieee.org/robots/zeno/	63.5	6.5	2007	United States	blue	0	0	1	1	0	0	0	1	2	2	2	0	1	1	1	0	0	1	0	1	1	1	1	1	1	center	middle	0	1	0	0	1	0	0	1	0	1	0	0
